user_input,reference
부산교통공사 규정에 대한 정보를 어디에서 찾을 수 있나요?,이 약관은 여객이 열람할 수 있도록 도시철도 각 역에 비치하고 홈페이지(http://www.humetro.busan.kr)에 게재하며 중요한 사항은 역에 게시할 수 있습니다.
"부산 지하철의 유지보수 엔지니어로서, 저는 다양한 역의 에스컬레이터 유지보수 일정을 계획하는 업무를 맡고 있습니다. 유지보수 목적으로 해당 사이트를 식별하는 데 도움이 될 수 있는 관련 세부 정보를 포함하여, 2호선 국제금융센터 역의 구체적인 위치와 관련 랜드마크에 대한 자세한 정보를 제공해 주실 수 있나요?","2호선 국제금융센터 역은 국제금융센터·부산은행으로도 알려져 있으며, 2014년에 설립된 부산국제금융센터와 관련이 있습니다. 이 랜드마크는 유지보수 목적으로 역을 식별하는 데 도움이 될 수 있습니다."
부산 지하철 2호선 서면역의 휠체어리프트 설치 현황에 대해 자세히 알려주세요.,"부산 도시철도 2호선 서면역에는 내부에 4개의 휠체어리프트가 설치되어 있으며, 외부에는 설치되어 있지 않습니다."
"여객이 마지막 열차를 놓치거나 공공교통 당국의 정책에 따라 다른 문제에 직면했을 때, 현금 또는 앱을 통해 메트로페이 잔액을 환불받기 위한 구체적인 조건과 절차는 무엇인가요?","정책에 따르면, 여객이 승차권을 개표한 후 본인의 귀책사유 없이 마지막 열차를 놓친 경우, 환불 금액은 별표 2에 따라 결정됩니다. 모바일 앱을 통해 발급된 승차권의 경우, 환불 금액은 수수료를 차감하지 않고 메트로페이로 반환됩니다. 또한, 특정 조건에 따라 메트로페이 잔액을 현금으로 환불할 때는 다음과 같은 절차가 적용됩니다: 잔액은 선입선출 방식으로 사용 실적을 차감하여 계산되며, 원래 충전 방법으로 반환됩니다. 그러나 모바일 앱에서 회원으로 등록되지 않은 여객이 휴대전화를 변경하거나 분실하거나 인증에 사용한 이메일을 잃어버리는 등 정보 관리 소홀로 인해 잔액을 확인할 수 없는 경우에는 환불되지 않습니다."
"안녕하세요, 대중교통 시스템에서 ""역""이 무엇을 의미하는지 알려주실 수 있나요?","""역""은 대중교통 시스템에서 승객이 운송되는 정거장을 의미합니다."
"안녕하세요, 부산 지하철 모든 노선의 엘리베이터 총 개수와 서면역에서 기차에 두고 내린 물건을 분실물 신고할 수 있는 곳을 알려주실 수 있나요?","부산 지하철 모든 노선의 엘리베이터 총 개수는 다음과 같습니다: 1호선 160대 (내부: 74대, 외부: 86대), 2호선 172대 (내부: 84대, 외부: 88대), 3호선 68대 (내부: 38대, 외부: 30대), 4호선 47대 (내부: 20대, 외부: 27대)로, 총 447대입니다. 분실물에 관해서는 서면역 역무안전실에 위치한 부산 지하철 유실물 서비스 센터에서 신고하실 수 있습니다. 센터는 평일 09:00부터 18:00까지 운영되며, 주말 및 공휴일은 휴무입니다. 전화번호는 051-640-7339 또는 051-678-6191입니다. 기차 출발 직후 분실 사실을 알게 된 경우 즉시 역무안전실에 신고하시고, 늦게 알게 된 경우 종착역이나 유실물 서비스 센터에 신고하시면 됩니다. 열차 번호, 하차 시간, 하차한 차량의 위치를 기억해 두시면 처리에 도움이 됩니다. 유실물은 발견된 역에서 다음 날 10시까지 보관되며, 이후 7일 동안 서비스 센터로 이관됩니다."
메트로페이 충전과 정기승차권 구매는 어떻게 이루어지나요?,"메트로페이 충전 및 정기승차권 구매는 모바일 애플리케이션을 통해 가능합니다. 애플리케이션은 구글 플레이스토어 또는 애플 앱스토어에서 다운로드할 수 있으며, 도시철도만 이용할 수 있습니다. 정기승차권은 1일권, 3일권, 1개월권으로 구분되며, 사용 만료된 경우 1개월권 정기권카드는 운임을 보충하여 계속 사용할 수 있습니다."
부산 지하철 연산역에 설치된 스마트 도서관과 모유수유실의 현황은 어떻게 되나요?,"부산 지하철 연산역에는 1호선에 위치한 스마트 도서관이 지하 1층에 설치되어 있으며, 설치기관은 연제구청입니다. 또한, 연산역에는 모유수유실이 전용으로 설치되어 있습니다."
"3호선 망미역에는 자전거 보관소가 몇 개 있으며, 이 역에는 장애인 화장실이 몇 개 있나요?","망미역에는 자전거 보관소가 총 40개 있으며, 4번 출구에 24대, 5번과 7번 출구 사이에 16대가 있습니다. 또한, 망미역은 3호선의 주요 역으로 장애인 화장실이 마련되어 있으나, 이 특정 역의 장애인 화장실 수는 제공된 정보에 상세히 나와 있지 않습니다; 3호선 전체의 장애인 화장실 수는 34개입니다."
부산 지하철 1호선 범일역에 설치된 자동사진기 설치가 부산 지하철 시스템의 연결 통로 설치와 같은 전반적인 인프라 개발과 어떻게 관련이 있나요?,부산 지하철 1호선 범일역에 설치된 자동사진기는 부산 지하철 시스템의 전반적인 인프라 개발의 일환으로 설치되었습니다. 이 역은 1992년에 완공된 현대백화점으로 연결되는 통로도 갖추고 있습니다. 이러한 설치는 다양한 노선의 여러 역에 설치된 연결 통로와 자동사진기를 통해 지하철 시스템의 기능성과 편의성을 향상시키기 위한 종합적인 노력의 일환입니다.
"중복 승차권 개표와 관련된 운임 환불을 대중교통 당국은 어떻게 처리하며, 역에서 이러한 환불을 처리하기 위한 구체적인 조건은 무엇인가요?","대중교통 당국은 제12조의2에 따라 중복 승차권 개표와 관련된 운임 환불을 처리합니다. 승객이 착오 등의 이유로 동일한 역에서 5분 이내에 2개 이상의 승차권을 개표하고 환불을 청구하는 경우, 추가로 지불한 운임을 반환합니다. 그러나 무임대상자가 복지교통카드 또는 우대승차권과 선후불교통카드를 중복 개표하고 선후불카드를 사용하여 도시철도를 이용한 후 다른 교통수단으로 환승하는 경우에는 환불이 제공되지 않습니다. 환불 절차는 발생일로부터 7일 이내에 승차권이 개표된 역에서 처리해야 하며, 환불 금액은 유효한 개표된 승차권 중 가장 낮은 금액을 제외한 1구간 운임 또는 환승운임으로 계산됩니다."
부산시에서 공공 교통 카드인 캐시비나 티머니 카드를 구매하고 환불받을 수 있는 미니스톱 편의점의 조건과 절차는 무엇인가요?,"부산시에서 캐시비나 티머니 카드를 미니스톱 편의점에서 구매할 경우, 카드 구매 시 생년월일을 등록해야 합니다. 환불 조건으로는 잔액이 2만원 이하인 경우에만 환불이 가능하며, 환불 수수료 500원이 공제된 후 현장에서 현금으로 지급됩니다. 카드는 반환됩니다."
"공공 교통 기관의 재무 분석가로서, 디지털 결제 시스템의 운영 및 재무적 함의를 이해하는 데 관심이 있습니다. ""메트로페이""가 무엇을 의미하는지, 그리고 이것이 공공 교통 서비스를 이용하는 승객의 요금 결제 과정에 어떻게 통합되는지 설명해 주실 수 있나요?","""메트로페이""는 승객이 앱을 다운로드하고 자동 발매기 또는 지정된 지점에서 현금이나 은행 이체를 통해 충전하여 그 금액이 앱 내에 가치로 저장되는 시스템을 의미합니다. 요금 결제 과정에 통합되는 측면에서, 승객이 정해진 요금이나 ""메트로페이""를 충전할 때 여객운송계약이 성립되며, 이는 약관에 명시된 조건 중 하나입니다."
부산 도시철도에서 동해선(울산 구간)으로 환승할 때의 요금 세부사항,"부산에서 도시철도에서 동해선(울산 구간)으로 환승할 때의 요금 세부사항은 다음과 같습니다: 어른의 경우 기본 요금은 1,600원이며, 부산과 울산 구간 모두에서 10km당 200원의 추가 요금이 부과되고, 시계외 여행에 대해 200원의 추가 요금이 있어 총 1,600(기본 요금) + 추가 요금(부산 + 울산) + 200(시계외 요금)입니다. 청소년의 경우 기본 요금은 1,050원이며, 두 구간 모두에서 10km당 150원의 추가 요금이 부과되고, 150원의 시계외 추가 요금이 있습니다. 어린이의 경우 도시철도는 무료이나, 동해선 요금은 650원에 부산과 울산 구간 모두에서 10km당 100원의 추가 요금이 부과되며, 100원의 시계외 추가 요금이 있습니다. 동해선의 추가 요금은 부산 구간(부전~월내)과 울산 구간(월내~태화강)에서 10km를 초과할 경우 적용됩니다. 또한, 도시철도 2구간 요금(어른 200원, 청소년 100원, 어린이 0원)은 하차 시 별도로 부과됩니다."
덕천역에 스마트 도서관이 있나요?,"네, 덕천역에 스마트 도서관이 1개 설치되어 있습니다. 위치는 지하1층이며, 설치기관은 북구청입니다."
"양산의 주차 요금은 얼마이며, 김해, 양산, BGL, 동해남부선 간의 환승 제한을 고려할 때 다른 지역과 어떻게 비교되나요?","양산은 2급지 주차 구역으로 분류되며, 주차 요금은 다음과 같습니다: 시간제 주차는 300원, 1일 주차는 8,000원, 월 주차 주간은 90,000원, 야간은 70,000원입니다. 이러한 요금은 1급지 구역의 높은 요금 구조의 일환으로, 1급지에서는 시간제 주차가 500원, 1일 주차가 15,000원입니다. 김해, 양산, BGL, 동해남부선 간의 환승 제한은 여행자들이 경로를 계획할 때 이러한 제한을 인지해야 함을 의미하며, 이는 주차 및 통근 결정에 영향을 미칠 수 있습니다."
"부산 지하철의 시설 관리자으로서, 특정 지역의 인프라 분포를 이해하는 데 관심이 있습니다. 2호선의 주요 역, 특히 양산에서 장애인을 위한 접근 가능한 화장실의 가용성에 대한 자세한 정보를 제공해 주실 수 있나요? 또한 양산시에 위치한 전기차 충전소의 현재 상태, 운영 시간 및 정확한 위치를 결합해 주시기 바랍니다.","부산 지하철 2호선의 장애인을 위한 접근 가능한 화장실의 가용성에 관하여, 이 노선에는 총 94개의 시설이 있으며, 양산은 이러한 편의시설이 갖춰진 주요 역 중 하나입니다. 양산시에 위치한 전기차 충전소에 대해서는 다양한 수의 충전기와 운영 시간이 있는 여러 위치가 있습니다: 경상남도 양산시 동면 가산리 525에 위치한 호포 차량 기지는 2개의 충전기를 보유하고 있으며 24시간 운영됩니다; 경상남도 양산시 물금읍 범어리 2804에 위치한 부산대 양산캠퍼스역은 2개의 충전기를 보유하고 있으며 24시간 운영됩니다; 경상남도 양산시 물금읍 범어리 2826에 위치한 남양산역은 2개의 충전기를 보유하고 있으며 24시간 운영됩니다; 그리고 경상남도 양산시 중부동 721에 위치한 양산역도 2개의 충전기를 보유하고 있으며 24시간 운영됩니다."
"'열차'의 정의는 무엇이며, 도시 교통 시스템에서 '열차' 운영과 관련된 금지된 행동은 무엇인가요?","'열차'라는 용어는 승객을 운송하는 전동차를 의미합니다. '열차' 운영과 관련된 금지된 행동에는 열차가 운행 중일 때 타거나 내리는 것, 정당한 이유 없이 승강용 출입문의 개폐를 방해하는 것, 열차 내에서 흡연하는 것, 직원의 허가 없이 광고물을 붙이거나 배포하는 것, 직원의 지시에 따르지 않거나 폭력이나 협박으로 그들의 직무를 방해하는 것, 정당한 이유 없이 제한 구역에 들어가는 것, 열차 내에서 노숙하는 것, 열차 내에 산업 폐기물이나 생활 폐기물 또는 오물을 버리는 것, 정당한 이유 없이 비상 정지 버튼을 누르거나 승강용 출입문을 여는 것과 같은 열차의 장치나 기구를 조작하는 것, 그리고 열차 밖에 있는 승객에게 위험을 초래하는 것이 포함됩니다."
부산 지하철에서 사상 역이 어느 노선에 위치해 있나요?,부산 지하철에서 사상 역은 2호선에 위치해 있습니다.
열차에서 금지된 행위에 대한 철도안전법에 명시된 벌칙은 무엇인가요?,"열차에서 금지된 행위에 대한 철도안전법에 명시된 벌칙은 다음과 같습니다: 비상정지버튼이나 출입문과 같은 열차 장치를 조작하는 경우 2년 이하의 징역형 또는 2천만원 이하의 벌금(제79조), 음주 또는 약물의 영향을 받아 타인에게 위해를 가하는 경우 1년 이하의 징역형 또는 1천만원 이하의 벌금, 철도 종사자나 승객에게 성적 수치심을 주는 경우 500만원 이하의 벌금, 정당한 사유 없이 제한구역에 무단으로 출입하는 경우 500만원 이하의 과태료(제82조)입니다."
도시 교통 시스템의 운임 조정 과정에서 국토교통부의 역할은 무엇인가요?,운임 조정 과정에서 부산시에서 확인된 후 운임 조정이 국토교통부에 통보됩니다.
"안녕하세요, 문현역에 에스컬레이터가 있는지 그리고 문현역에 몇 대가 있는지 알려줄 수 있나요?","네, 문현역에는 에스컬레이터가 있습니다. 문현역에는 8대의 에스컬레이터가 있습니다."
"시설 관리자님, 부산 구간의 동해선에서 청소년과 어린이의 요금 구조에 대해 설명해 주실 수 있나요?","부산 구간의 동해선에서 청소년의 요금 구조는 기본 요금 1,050원에 초기 10킬로미터를 초과하는 경우 10킬로미터마다 150원의 추가 요금이 부과됩니다. 어린이의 경우 기본 요금은 650원이며, 초기 10킬로미터를 초과하는 경우 10킬로미터마다 100원의 추가 요금이 부과됩니다."
"1개월권을 사용했을 때의 세부사항과 이점, 성인과 청소년의 요금, 그리고 사용에 영향을 미칠 수 있는 제한 사항에 대해 설명해 주실 수 있나요?","1개월권은 대중교통을 위한 정기 승차권의 일종으로, 성인은 45,000원, 청소년은 33,000원의 비용이 발생합니다. 그러나 이 승차권은 지정된 시스템 외의 다른 교통수단에서는 사용할 수 없다는 제한이 있습니다."
"공공 교통 기관을 위한 인프라 투자 평가를 담당하는 재무 분석가로서, 중앙역의 자동 사진기 설치 현황에 대한 자세한 정보를 제공해 주실 수 있나요? 해당 노선과 설치된 대수도 포함해서요.","중앙역은 1호선에 위치하며, 1대의 자동 사진기가 설치되어 있습니다."
석대에 할당된 유닛 수는 몇 개인가요?,석대에 할당된 유닛 수는 2대입니다.
다대포항역의 첫차와 막차 시간은 무엇인가요?,"다대포항역의 첫차 시간은 05:16 (상행)과 05:06 (하행)이며, 막차 시간은 00:32 (상행)과 23:13 (하행)입니다."
"동해선, 특히 부산 구간에서의 운임 구성 요소는 무엇인가요?","동해선 부산 구간에서의 운임 구성 요소는 기본 운임 650원, 부산 구간에서 10km마다 추가 요금 100원이 부과되며, 부산과 울산 구간 모두에서 거리가 10km를 초과할 경우 지정 구역 외 여행에 대해 추가 요금 100원이 부과됩니다."
복지교통카드랑 선후불카드 같이 쓰면 운임 반환 어떻게 되나요?,"복지교통카드와 선후불교통카드가 동시(5분 이내)에 개표된 경우, 카드 기본운임이 반환됩니다. 단, 선후불교통카드로 환승한 경우에는 반환되지 않습니다. 또한, 승차 이후에는 반환 불가하며, 승차 이전에 발생 역에 알리는 경우에 한하여 반환됩니다."
"부산 1호선 하단역의 외부 경사로 현황은 어떠하며, 같은 노선의 다른 주요 역들과 비교했을 때 어떤가요?","하단역은 부산 1호선의 주요 역 중 하나로, 총 67개의 외부 경사로가 있습니다. 이 노선의 다른 주요 역으로는 낫개, 신평, 당리, 사하, 괴정, 대티, 서대신, 동대신, 토성, 자갈치, 남포, 중앙, 부산, 초량, 부산진, 좌천, 범일, 범내골, 서면(1), 부전, 양정, 시청, 교대(1), 동래(1), 명륜, 온천장, 부산대, 장전, 두실, 남산, 범어사, 노포가 있습니다."
도시철도법시행령에 따른 운임조정위원회 구성은 어떻게 되나요?,"도시철도법시행령 제22조에 따르면, 시·도지사는 운임조정위원회를 설치하여 의견을 들어야 하며, 운임조정위원회는 전체 위원 중 민간위원이 2분의 1 이상이어야 합니다."
"부산의 대중교통을 위한 교통카드 옵션에 대해, 누가 사용할 수 있는지와 구역 또는 구간에 따라 비용이 얼마인지 모두 알려줄 수 있나요?","부산에서는 대중교통을 위한 교통카드가 제공되며, 일반용, 청소년용, 어린이용의 세 가지 종류가 있습니다. 교통카드를 사용할 때의 요금 구조에 따르면, 1구간(출발역에서 10km까지)의 경우 어른은 1,600원, 청소년은 1,050원, 어린이는 무료이며, 다자녀 가정은 800원의 할인 요금이 적용됩니다. 2구간(10km 초과)의 경우 어른은 1,800원, 청소년은 1,200원, 어린이는 무료이며, 다자녀 가정은 900원의 요금이 부과됩니다."
"부산 도시철도 요금표 보면 어른이랑 청소년 요금 차이 뭐고, QR승차권이랑 교통카드 요금 차이도 좀 설명해줘요?","부산 도시철도 요금표에 따르면, 교통카드/모바일승차권 요금에서 어른은 1구간 1,600원, 2구간 1,800원이고, 청소년은 1구간 1,050원, 2구간 1,200원입니다. QR승차권 요금에서는 어른이 1구간 1,700원, 2구간 1,900원이며, 청소년은 1구간 1,150원, 2구간 1,300원입니다. 따라서 QR승차권은 교통카드/모바일승차권보다 어른과 청소년 모두 100원씩 더 비쌉니다."
부산은행은 카드 발급을 위해 어디에서 찾을 수 있나요?,부산은행은 부산시민이 복지 교통카드를 발급받을 수 있는 장소입니다.
"동해남부선에서 교통카드를 사용하는 데 있어 제한 사항과 조건은 무엇이며, 이러한 사항이 다자녀 운임 할인에 어떤 영향을 미칩니까?","동해남부선에서는 교통카드를 사용하는 데 특정 제한 사항과 조건이 있습니다. 김해, 양산, BGL과 동해남부선 간의 환승은 허용되지 않습니다. 시스템 오류가 발생할 경우, 사용자들은 교통카드 회사에 연락할 것을 권장합니다. 또한, 다자녀 운임 할인은 동해남부선에 적용되지 않습니다. 이 할인은 부산에 거주하며 자녀가 세 명 이상인 경우에만 제공되며, 할인은 막내 자녀가 만 18세가 될 때까지 유효합니다. 할인은 성인 요금의 최대 50%까지 적용되지만, 부산에서 발급한 가족사랑카드를 소지해야 하며 동해남부선에서는 적용되지 않습니다."
미남 역 어디 있어?,"미남 역은 독립된 역으로, 6786-309과 6786-401에 위치해 있습니다."
"안녕하세요, 부산광역시 물가대책위원회가 무엇인지 그리고 그것이 부산의 지하철 요금과 어떻게 연결되는지 알려주실 수 있나요?",부산광역시 물가대책위원회는 부산교통공사 설치조례 제10조에 따라 운임조정위원회의 역할을 수행합니다. 이는 부산 지하철의 요금 조정과 관련된 기능을 처리한다는 의미입니다.
"서면에 자동사진기 몇 대 설치되어 있는지, 그리고 다른 역들에 비해 어떤지 설명해줄래?","서면에는 1호선과 2호선 각각에 1대씩, 총 2대의 자동사진기가 설치되어 있습니다. 다른 역들과 비교했을 때, 서면은 자동사진기가 두 대 설치된 몇 안 되는 역 중 하나입니다."
"망미역 3호선의 자전거 주차 용량은 얼마이며, 누가 관리하나요?","망미역 3호선의 자전거 주차 용량은 4번 출구에 24대, 5번과 7번 출구 사이에 16대입니다. 이 역의 관리자는 수영구청입니다."
부산 2호선 해운대역에 장애인을 위한 접근 가능한 화장실과 같은 시설이 있는지에 대한 정보를 제공해 주실 수 있나요?,"네, 부산 2호선 해운대역은 이 노선의 주요 역 중 하나로, 모든 역에 총 94개의 장애인을 위한 접근 가능한 화장실이 있습니다. 또한, 모든 역의 화장실은 남녀로 분리되어 있습니다."
"What are the terms related to public transportation in Busan that will be implemented on April 1, 2023?","These terms will be implemented from April 1, 2023."
"부산 지하철 2호선에서 벡스코(시립미술관) 역은 어떤 특징을 가지고 있으며, 해당 역이 전용역인지 겸용역인지 알려주세요.","부산 지하철 2호선에 위치한 벡스코(시립미술관) 역은 주요 역 중 하나로, 시립미술관과 연결되어 있습니다. 또한, 이 역은 전용역으로 분류되어 있습니다."
"부산시의 대중교통 정책 자문으로서, 도시철도법에 따른 승차권 사용 규정에 대한 자세한 정보를 찾고 있습니다. 특히, 부산교통공사의 정책에 따라 어떤 경우에 승차권이 무효로 간주되고 압수될 수 있는지, 그리고 승차권 사용과 관련하여 승객이 일반적으로 지켜야 할 의무는 무엇인지 여객운송약관에 명시된 내용을 알고 싶습니다.","부산교통공사의 정책에 따르면, 승차권은 여러 경우에 무효로 간주되고 압수될 수 있습니다: 할인 또는 우대승차권을 사용 자격이 없는 사람이 사용했을 때; 승차권의 표시 정보가 변경되었을 때; 유효기간이 만료된 승차권을 사용했을 때; 할인 또는 우대승차권을 사용하는 승객이 신분증을 소지하지 않거나 제시를 거부했을 때; 단체 승객이 허용된 인원을 초과하거나 신분 또는 연령을 속여 운임을 회피하려 했을 때; 비직원이 직원 전용 승차권을 사용했을 때; 승차권을 복사하거나 기타 위조 방법으로 복제하여 사용했을 때; 또는 승차권을 부정하게 사용하는 다른 경우에 해당합니다. 이러한 경우에는 교통카드와 모바일 승차권을 제외하고 승차권이 무효로 간주되어 압수됩니다. 또한, 부산교통공사가 제시한 여객운송약관에 따르면, 승객은 일반적으로 유효한 승차권을 소지하고 요구 시 신분 확인에 응해야 할 의무가 있습니다."
해운대 역은 어떤 호선에 있나요?,해운대 역은 2호선에 있습니다.
"수영구에 있는 주차장 정보 뭐 있나요, 주차 요금도 포함해서?","수영구에 있는 주차장은 수영~광안 지하주차장으로, 광안동 491-20에 위치해 있으며, 옥내에 6대의 주차 공간이 있습니다. 주차 요금은 충전 시 1시간 무료이며, 1시간 초과 요금은 50% 감면됩니다."
다대포해수욕장 역의 만남의 장소 수는 몇 개야?,다대포해수욕장 역에는 만남의 장소가 1개 있습니다.
부산 지하철 센텀시티역에 위치한 무인 민원발급기는 어디에 있나요?,"부산 지하철 센텀시티역에 위치한 무인 민원발급기는 지하 1층에 있으며, 해운대구청에서 관리합니다."
"공공 교통 기관의 비용 구조를 평가하는 재무 분석가로서, 단체승차권이 무엇인지, 발급되는 특정 조건과 예약 및 발급을 위한 절차적 단계에 대해 자세히 설명해 주실 수 있나요?","단체승차권은 20인 이상의 개인이 함께 동일한 경로와 구간을 여행할 때 발급되는 그룹 티켓입니다. 단체승차권을 이용하기 위한 절차는 여러 단계로 이루어져 있습니다: 먼저, 단체승차권 예약은 공공 교통 기관의 웹사이트에서 단체승차권 예약 섹션을 통해 이루어져야 합니다. 예약 후, 그룹은 가까운 역을 방문하여 현금으로 운임을 지불해야 하며, 단체승차권에 대한 카드 결제는 허용되지 않습니다. 결제가 완료되면, 역에서 단체승차권이 발급되고 그룹은 여행을 시작할 수 있습니다. 왕복 예약의 경우, 편도 정보를 입력하고 예약을 완료한 후 왕복 승차권 예약 팝업이 나타나며, 이를 확인하여 예약을 진행해야 합니다. 여행 시작 전에 가까운 역에서 현금으로 운임을 지불해야 합니다."
QR승차권 환불 조건은 무엇인가요?,"QR승차권의 경우, 유효기간이 남아 있고 개표하지 않은 상태에서 불필요하게 되었을 때 여객운임 반환을 청구할 수 있습니다."
부산 지하철에서 BGL은 무엇인가요?,"BGL은 부산 지하철 시스템에서 특정 노선이나 구역을 의미하며, 김해, 양산, BGL ↔ 동해남부선 간의 환승 제한과 관련하여 언급되었습니다. 이 구간에서는 환승이 불가능합니다."
